Message: AuxControls, ID: 0x18ff35e4, DLC: 8
  Signal: btn_LHJoystick_LH, Start Bit: 20, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
  Signal: ShtDwnOvrdSwt, Start Bit: 62, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
Message: Shutdown, ID: 0x18fee40, DLC: 5
  Signal: WaittoStartLmp, Start Bit: 24, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
  Signal: EngShutdown, Start Bit: 32, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
Message: ET1, ID: 0x18feee0, DLC: 4
  Signal: EngineCoolantTemp, Start Bit: 0, Length: 8, Endianess: Little Endian, Factor: 1, Offset: -40, Min: -40, Max: 210, Unit: deg C
  Signal: EngineFuelTemp, Start Bit: 8, Length: 8, Endianess: Little Endian, Factor: 1, Offset: -40, Min: -40, Max: 210, Unit: deg C
  Signal: EngineOilTemp, Start Bit: 16, Length: 16, Endianess: Little Endian, Factor: 0.03125, Offset: -273, Min: -273, Max: 1735, Unit: None
Message: EFLP1, ID: 0x18feef0, DLC: 8
  Signal: EngineFuelDeliveryPressure, Start Bit: 0, Length: 8, Endianess: Little Endian, Factor: 4, Offset: 0, Min: 0, Max: 1000, Unit: None
  Signal: EngineOilLevel, Start Bit: 16, Length: 8, Endianess: Little Endian, Factor: 0.4, Offset: 0, Min: 0, Max: 100, Unit: None
  Signal: EngineOilPressure, Start Bit: 24, Length: 8, Endianess: Little Endian, Factor: 4, Offset: 0, Min: 0, Max: 1000, Unit: None
  Signal: EngineCoolantLevel, Start Bit: 56, Length: 8, Endianess: Little Endian, Factor: 0.4, Offset: 0, Min: 0, Max: 100, Unit: None
Message: SAE_AAI, ID: 0x1cfe8cfc, DLC: 7
  Signal: AuxTemp1, Start Bit: 0, Length: 8, Endianess: Little Endian, Factor: 1, Offset: -40, Min: -40, Max: 210, Unit: deg C
  Signal: HydraulicOilTemperature, Start Bit: 8, Length: 8, Endianess: Little Endian, Factor: 1, Offset: -40, Min: -40, Max: 210, Unit: deg C
  Signal: AuxPress1, Start Bit: 16, Length: 8, Endianess: Little Endian, Factor: 16, Offset: 0, Min: 0, Max: 4000, Unit: None
  Signal: AuxPress2, Start Bit: 24, Length: 8, Endianess: Little Endian, Factor: 16, Offset: 0, Min: 0, Max: 4000, Unit: None
  Signal: AuxilaryLevel, Start Bit: 32, Length: 16, Endianess: Little Endian, Factor: 0.1, Offset: 0, Min: 0, Max: 6425.5, Unit: mm
  Signal: RelativeHumidity, Start Bit: 48, Length: 8, Endianess: Little Endian, Factor: 0.4, Offset: 0, Min: 0, Max: 100, Unit: None
Message: BCT_IND2, ID: 0x18ff31fc, DLC: 4
  Signal: HighBeam, Start Bit: 0, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: LowBeam, Start Bit: 2, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: PositionLi, Start Bit: 4, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Flasher, Start Bit: 6, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: DriveMode0, Start Bit: 8, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: DriveMode1, Start Bit: 10, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: DriveMode2, Start Bit: 12, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: DriveMode3, Start Bit: 14, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Forward, Start Bit: 16, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Neutral, Start Bit: 18, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Reverse, Start Bit: 20, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: PreheatIndic, Start Bit: 22, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
  Signal: InstrumentIcon37, Start Bit: 24, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: None
  Signal: InstrumentIcon38, Start Bit: 26, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: None
  Signal: InstrumentIcon39, Start Bit: 28, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: None
  Signal: InstrumentIcon40, Start Bit: 30, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: None
Message: CAN03, ID: 0x18ffff1, DLC: 3
  Signal: EngineCranking, Start Bit: 8, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: EngineStop, Start Bit: 16, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
Message: EJM2, ID: 0x18fdd92, DLC: 8
  Signal: LEFT_ROCKER_NEUTRAL, Start Bit: 0, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: LEFT_ROCKER_BACK, Start Bit: 2, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: LEFT_ROCKER_FORWARD, Start Bit: 4, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: LEFT_ROCKER_POSITION_VALUE, Start Bit: 6, Length: 10, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 102, Unit: %
  Signal: RIGHT_ROCKER_NEUTRAL, Start Bit: 16, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: RIGHT_ROCKER_BACK, Start Bit: 18, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: RIGHT_ROCKER_FORWARD, Start Bit: 20, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: RIGHT_ROCKER_POSITION_VALUE, Start Bit: 22, Length: 20, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 102, Unit: %
  Signal: Counter, Start Bit: 56, Length: 8, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 255, Unit: -
Message: BJM2, ID: 0x18ff682, DLC: 8
  Signal: X_Axis_Neutral_Position_Status, Start Bit: 0, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: X_Axis_Lever_Left_Negative_Posi, Start Bit: 2, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: X_Axis_Lever_Right_Postive_Posi, Start Bit: 4, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: X_Axis_Position, Start Bit: 6, Length: 10, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 1023, Unit: -
  Signal: Y_Axis_Neutral_Position_Status, Start Bit: 16, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: Y_Axis_Lever_Left_Negative_Posi, Start Bit: 18, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: Y_Axis_Lever_Right_Postive_Posi, Start Bit: 20, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: Y_Axis_Position, Start Bit: 22, Length: 10, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 1023, Unit: -
  Signal: Not_Defined, Start Bit: 32, Length: 4, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 15, Unit: -
  Signal: Button4, Start Bit: 40, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: Button3_Bucket, Start Bit: 42, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: Button2_Plus, Start Bit: 44, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: Button1_Minus, Start Bit: 46, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: Button7_FNR_R, Start Bit: 50, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: Button6_FNR_N, Start Bit: 52, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: Button5_FNR_F, Start Bit: 54, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 3, Unit: -
  Signal: Counter, Start Bit: 56, Length: 8, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 255, Unit: -
